device,lat,lng,region,service,sub_service,sum_amount,count_amount,hour,minute,dofweek,day,month,No
sbm42731,NULL,NULL,NULL,debit,shipment,69481805.29,2622519,21,35,6,31,12,1
sbm42731,NULL,NULL,NULL,debit_rev,debit_rev,1612323.35,47777,23,32,6,31,12,2
sbm42731,NULL,NULL,NULL,debit,debit,518488.92,10176,21,57,0,16,1,3
sbm_dlink,NULL,NULL,NULL,debit,debit,26630035.31,6775,21,11,6,31,12,4
sbm_dlink,NULL,NULL,NULL,topup,topup,26185414.35,6736,21,11,6,31,12,5
sbm_dlink,NULL,NULL,NULL,topupfee,topupfee,54420,6718,21,11,6,31,12,6
sbm60251,NULL,NULL,NULL,debit,debit,57560,5182,11,2,4,29,12,7
sbm59787,NULL,NULL,NULL,topup,topup,481270,4973,5,14,2,25,10,8
sbm60886,NULL,NULL,NULL,topup,topup,273639,3105,6,48,2,18,10,9
sbm42731,NULL,NULL,NULL,credit,commission,1865212.65,3028,9,11,4,22,12,10
sbm59409,NULL,NULL,NULL,topup,topup,301400,3015,12,24,6,22,10,11
sbm60013,NULL,NULL,NULL,topup,topup,230038,2426,18,13,2,27,9,12
sbm58527,NULL,NULL,NULL,topup,topup,232020,2394,11,40,4,3,11,13
sbm60976,NULL,NULL,NULL,topup,topup,220010,2343,13,10,3,2,11,14
sbm56648,NULL,NULL,NULL,topup,topup,212364,2286,14,19,4,6,10,15
sbm58462,NULL,NULL,NULL,topup,topup,226850,2264,12,24,6,22,10,16
sbm12333,NULL,NULL,NULL,debit,debit,200,2215,18,30,6,31,12,17
sbm58608,NULL,NULL,NULL,topup,topup,204200,2206,14,19,4,3,11,18
sbm60251,NULL,NULL,NULL,topup,topup,215272,2182,6,37,4,3,11,19
sbm61344,NULL,NULL,NULL,topup,topup,199964,2165,7,12,0,9,10,20
sbm56974,NULL,NULL,NULL,topup,topup,201620,2120,20,42,6,22,10,21
sbm59956,NULL,NULL,NULL,topup,topup,194330,2099,15,26,0,30,10,22
sbm56735,NULL,NULL,NULL,topup,topup,196375,2085,18,36,6,22,10,23
sbm54905,NULL,NULL,NULL,debit,debit,15577,2045,12,28,4,8,12,24
sbm57693,NULL,NULL,NULL,topup,topup,182423.41,2018,5,13,1,10,10,25
sbm62757,NULL,NULL,NULL,topup,topup,185598,2007,13,59,4,6,10,26
sbm61759,NULL,NULL,NULL,topup,topup,183550,1990,23,1,3,5,10,27
sbm61761,NULL,NULL,NULL,topup,topup,183250,1987,23,7,3,5,10,28
sbm61683,NULL,NULL,NULL,topup,topup,183150,1986,22,43,3,5,10,29
sbm61760,NULL,NULL,NULL,topup,topup,183040,1985,22,55,3,5,10,30
sbm61688,NULL,NULL,NULL,topup,topup,181460,1967,22,49,3,5,10,31
sbm62869,NULL,NULL,NULL,topup,topup,180310,1950,13,55,4,6,10,32
sbm61782,NULL,NULL,NULL,topup,topup,179810,1949,23,10,3,5,10,33
sbm61851,NULL,NULL,NULL,topup,topup,179300,1943,23,16,3,5,10,34
sbm61874,NULL,NULL,NULL,topup,topup,179100,1941,23,19,3,5,10,35
sbm61865,NULL,NULL,NULL,topup,topup,179090,1941,23,13,3,5,10,36
sbm61875,NULL,NULL,NULL,topup,topup,177010,1918,23,21,3,5,10,37
sbm56650,NULL,NULL,NULL,topup,topup,173675.63,1912,19,19,0,25,9,38
sbm61896,NULL,NULL,NULL,topup,topup,178305,1906,23,58,0,16,10,39
sbm60342,NULL,NULL,NULL,topup,topup,173390,1873,7,22,4,6,10,40
sbm61686,NULL,NULL,NULL,topup,topup,172280,1863,22,59,3,5,10,41
sbm56640,NULL,NULL,NULL,topup,topup,182100,1821,16,35,6,22,10,42
sbm60259,NULL,NULL,NULL,topup,topup,179120,1819,8,40,0,23,10,43
sbm63301,NULL,NULL,NULL,topup,topup,166250,1796,10,13,4,6,10,44
