"device","lat","lng","region","service","sub_service","sum_amount","count_amount","hour","minute","dofweek","day","month"
"VDC52275","0 "," 0","Offline","TMNTOPUP","Top up Wallet",83920.0,1534,11,50,6,31,12
"VDC53111","0 "," 0","Offline","AIS","Top up TELCO",11260.0,306,7,13,6,31,12
"VDC4129","0 "," 0","Offline","TMNTOPUP","Top up Wallet",15440.0,238,21,57,6,31,12
"VDC53944","0 "," 0","Offline","DTAC","Top up TELCO",10450.0,204,18,0,4,29,12
"VDC5605","0 "," 0","Offline","TMNTOPUP","Top up Wallet",4260.0,203,6,36,2,27,12
"VDC6335","0 "," 0","Offline","AIRPAYWALLET","Top up Wallet",28345.0,193,14,18,3,28,12
"VDC57306","16.6100250000000003 "," 100.350361666666657","ภาคตะวันออกเฉียงเหนือ","PEA","Bill Utility",121903.5,173,14,36,6,31,12
"VDC56647","0 "," 0","Offline","TMNTOPUP","Top up Wallet",13025.0,171,21,0,6,31,12
"VDC8602","17.7421100000000003 "," 100.449648333333329","ภาคตะวันออกเฉียงเหนือ","PEA","Bill Utility",64392.22,164,8,28,3,28,12
"VDC60527","0 "," 0","Offline","PEA","Bill Utility",61749.72,163,8,6,1,26,12
"VDC39857","17.6382516666666689 "," 100.084718333333328","ภาคตะวันออกเฉียงเหนือ","TMNTOPUP","Top up Wallet",8490.0,153,8,51,4,29,12
"VDC54767","0 "," 0","Offline","DTACPROSERM","Add Package",4230.0,152,12,52,4,24,11
"VDC39857","17.6382516666666689 "," 100.084718333333328","ภาคตะวันออกเฉียงเหนือ","KTBDEPOSIT","Transfer to Bank",44865.0,147,12,1,4,29,12
"VDC38928","0 "," 0","Offline","TMNTOPUP","Top up Wallet",12040.0,143,12,12,0,21,8
"VDC35765","0 "," 0","Offline","TMNTOPUP","Top up Wallet",11575.0,142,12,12,0,21,8
"VDC30991","16.3330533333333321 "," 103.495705000000001","ภาคตะวันออกเฉียงเหนือ","TMNTOPUP","Top up Wallet",5545.0,142,18,17,0,25,12
"VDC63047","0 "," 0","Offline","SCBDEPOSIT","Transfer to Bank",50212.0,139,12,57,6,12,11
"AJT80070","0 "," 0","Offline","DTAC","Top up TELCO",3130.0,137,7,26,6,31,12
"VDC11164","0 "," 0","Offline","TMNTOPUP","Top up Wallet",10590.0,133,19,52,6,24,9
"AJT48546","0 "," 0","Offline","TMNTOPUP","Top up Wallet",4960.0,128,11,44,6,31,12
"VDC54767","0 "," 0","Offline","TMNTOPUP","Top up Wallet",5400.0,127,14,22,0,10,4
"VDC54915","0 "," 0","Offline","TMNTOPUP","Top up Wallet",12570.0,121,11,46,5,30,12
"VDC52138","18.7072883333333344 "," 100.764410000000012","ภาคตะวันออกเฉียงเหนือ","PEA","Bill Utility",56336.61,118,22,38,6,31,12
"VDC26668","0 "," 0","Offline","TMNTOPUP","Top up Wallet",5265.0,108,2,44,0,18,12
"VDC33001","0 "," 0","Offline","TMNTOPUP","Top up Wallet",4995.0,105,19,26,4,24,11
"VDC16013","0 "," 0","Offline","TMNTOPUP","Top up Wallet",4245.0,97,11,48,6,31,12
"VDC60995","15.7297883333333335 "," 103.448231666666658","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",4430.0,95,21,15,0,18,12
"VDC60551","0 "," 0","Offline","PEA","Bill Utility",35592.55,94,7,20,0,25,12
"VDC47564","14.7189366666666661 "," 98.6576666666666569","ภาคเหนือ","TMNTOPUP","Top up Wallet",7870.0,92,20,36,6,31,12
"VDC49621","14.0593100000000018 "," 99.4944283333333317","ภาคเหนือ","TMNTOPUP","Top up Wallet",6890.0,88,0,53,4,15,12
"AJT12011","0 "," 0","Offline","TMNTOPUP","Top up Wallet",4910.0,82,23,33,5,30,12
"VDC62578","0 "," 0","Offline","PEA","Bill Utility",44411.25,81,16,35,3,28,12
"VDC64513","0 "," 0","Offline","AIS","Top up TELCO",1960.0,78,16,54,1,26,12
"VDC6640","14.0623533333333324 "," 99.9835783333333268","ภาคกลาง","TMNTOPUP","Top up Wallet",5020.0,78,6,59,2,31,5
"AJT113213","0 "," 0","Offline","TMNTOPUP","Top up Wallet",5070.0,76,18,5,1,26,12
"VDC66787","0 "," 0","Offline","KBANKDEPOSIT","Transfer to Bank",31035.0,75,14,9,4,29,12
"VDC53551","0 "," 0","Offline","AIS","Top up TELCO",1930.0,75,16,7,6,3,12
