"device","type_device","lat","lng","region","service","sub_service","sum_amount","count_amount","hour","minute","dofweek","day","month"
"VFE148","VFE","13.9470777199999993 "," 100.375932950000006","ภาคกลาง","VEND","เป๊ปซี่-สลิม",532.0,38,22,9,2,27,12
"VFE369","VFE","13.1196411600000005 "," 100.90947903","ภาคกลาง","VEND","เอ็ม-150",290.0,29,7,31,4,29,12
"VFE1803","VFE","13.6184599800000008 "," 100.531261850000007","ภาคกลาง","VEND","เอ็ม-150",280.0,28,12,41,5,30,12
"VFE770","VFE","13.6443500800000006 "," 100.714311440000003","ภาคกลาง","VEND","เอ็ม-150",280.0,28,7,59,1,19,12
"VFE1608","VFE","13.6869628599999995 "," 100.611713800000004","ภาคกลาง","VEND","น้ำแร่มองต์เฟลอ",135.0,27,16,21,5,30,12
"VFE984","VFE","13.5856415699999999 "," 100.751059240000004","ภาคกลาง","VEND","เป๊ปซี่-สลิม",360.0,24,20,59,6,31,12
"VFE649","VFE","13.8342746299999995 "," 100.611488339999994","ภาคกลาง","VEND","โวลต์-กาแฟอีนและซิงค์ 215 ml.",207.0,23,19,51,3,28,12
"VFE407","VFE","13.7988437899999994 "," 100.744849509999995","ภาคกลาง","VEND","เอ็ม-150",220.0,22,14,6,6,31,12
"VFE759","VFE","13.7673245699999995 "," 100.656284869999993","ภาคกลาง","VEND","เอ็ม-150",190.0,19,17,59,2,27,12
"VFE2328","VFE","13.8962972499999999 "," 100.452878850000005","ภาคกลาง","VEND","เอ็ม-150",180.0,18,17,0,4,29,12
"VFE782","VFE","13.5856927200000008 "," 100.751064209999996","ภาคกลาง","VEND","เนสกาแฟ - ลาเต้",270.0,18,11,55,5,30,12
"VFE2367","VFE","13.5856629000000009 "," 100.750988500000005","ภาคกลาง","VEND","บิ๊กกรีนที น้ำผึ้งผสมมะนาว",198.0,18,3,10,2,27,12
"VFE2328","VFE","13.8962972499999999 "," 100.452878850000005","ภาคกลาง","VEND","611 เอ็มจอย ml. องุ่น",180.0,18,18,43,2,20,12
"VFE889","VFE","13.6652812699999995 "," 100.516327829999994","ภาคกลาง","VEND","คาราบาวแดง",187.0,17,8,15,4,22,12
"VFE369","VFE","13.1196411600000005 "," 100.90947903","ภาคกลาง","VEND","เป๊ปซี่-สลิม",221.0,17,10,39,6,24,12
"VFE1734","VFE","13.5857658699999995 "," 100.7510738","ภาคกลาง","VEND","เอ็ม-150",160.0,16,19,25,6,31,12
"VFE537","VFE","14.0243080899999999 "," 100.294461139999996","ภาคกลาง","VEND","เอ็ม-150",176.0,16,13,30,4,29,12
"VFE984","VFE","13.5856415699999999 "," 100.751059240000004","ภาคกลาง","VEND","เนสกาแฟ -เอสเปรสโซ",255.0,15,11,11,6,31,12
"VFE782","VFE","13.5856927200000008 "," 100.751064209999996","ภาคกลาง","VEND","611 น้ำวิตามินซี (Six.Eleven)",150.0,15,15,35,6,31,12
"VFE2183","VFE","13.77980743 "," 100.507741429999996","ภาคกลาง","VEND","โค้ก-สลิม (1x24)",225.0,15,12,44,6,31,12
"VFE1734","VFE","13.5857658699999995 "," 100.7510738","ภาคกลาง","VEND","เอ็ม-150",150.0,15,12,41,3,21,12
"VFE1074","VFE","13.7201077100000006 "," 100.565742529999994","ภาคกลาง","VEND","โค้ก-สลิม (1x24)",195.0,15,10,21,6,24,12
"VFE1878","VFE","13.8329985999999998 "," 100.616575350000005","ภาคกลาง","VEND","เอส-โคล่า",163.0,14,12,13,6,24,12
"VFE2358","VFE","13.8145668799999992 "," 100.718697700000007","ภาคกลาง","VEND","บิ๊กกรีนที น้ำผึ้งผสมมะนาว",152.0,14,7,41,3,28,12
"VFE1083","VFE","13.6854006500000001 "," 100.683887260000006","ภาคกลาง","VEND","ผลิตภัณฑ์นมจืด ตรา ว้าวว",70.0,14,7,46,1,26,12
"VFE782","VFE","13.5856927200000008 "," 100.751064209999996","ภาคกลาง","VEND","เอ็ม-150",140.0,14,11,59,6,31,12
"VFE317","VFE","13.9239733099999992 "," 100.410069800000002","ภาคกลาง","VEND","เอ็ม-150",156.0,13,17,35,6,17,12
"VFE1783","VFE","14.5363074099999992 "," 101.388251389999994","ภาคกลาง","VEND","โวลต์-กาแฟอีนและซิงค์ 215 ml.",130.0,13,11,0,4,29,12
"VFE2137","VFE","13.7358362899999999 "," 100.341421830000002","ภาคกลาง","VEND","โค้ก-สลิม (1x24)",169.0,13,0,59,5,30,12
"VFE2065","VFE","12.8801501799999993 "," 100.884887289999995","ภาคใต้","VEND","เบอร์ดี้เอสเปรสโซ",195.0,13,11,18,5,30,12
"VFE1761","VFE","13.7116231400000004 "," 100.408065980000003","ภาคกลาง","VEND","คาราบาวแดง",156.0,13,12,38,4,29,12
"VFE2210","VFE","13.5857091600000004 "," 100.751153029999998","ภาคกลาง","VEND","611 น้ำเกลือแร่ (Six.Eleven)",156.0,13,20,19,5,23,12
"VFE782","VFE","13.5856927200000008 "," 100.751064209999996","ภาคกลาง","VEND","เอ็ม-150",130.0,13,11,49,6,31,12
"VFE2358","VFE","13.8145668799999992 "," 100.718697700000007","ภาคกลาง","VEND","เนสกาแฟ - ลาเต้",180.0,12,7,48,5,30,12
"VFE1916","VFE","13.9408014199999997 "," 100.553290250000003","ภาคกลาง","VEND","เครื่องดื่มเจลลี่รสสตรอเบอร์รี่6.11",144.0,12,15,9,6,17,12
"VFE1840","VFE","13.5858157300000002 "," 100.751121310000002","ภาคกลาง","VEND","ผลิตภัณฑ์นมจืด ตรา ว้าวว",60.0,12,20,15,6,31,12
"VFE1783","VFE","14.5363074099999992 "," 101.388251389999994","ภาคกลาง","VEND","โวลต์-กาแฟอีนและซิงค์ 215 ml.",120.0,12,13,11,2,27,12
"VFE1901","VFE","13.6639181099999991 "," 100.628355749999997","ภาคกลาง","VEND","เอ็ม-150",120.0,12,9,20,4,29,12
"VFE180","VFE","13.8087758300000001 "," 100.052122049999994","ภาคกลาง","VEND","เอ็ม-150",144.0,12,5,43,2,27,12
