"day","count","service_product"
5,47712,"debit"
5,36357,"topup"
5,29748,"credit"
5,19090,"topupfee"
5,11863,"transferin"
5,9704,"transferout"
5,4925,"dvcashin"
5,4046,"fee"
5,2903,"dvcashin_rev"
5,2864,"debit_rev"
5,2432,"M-150 น้ำผึ้ง 150 มล."
5,1814,"TRUE"
5,1798,"AIS"
5,1753,"TMNTOPUP"
5,1710,"DTAC"
5,1546,"KBANKDEPOSIT"
5,1494,"payrolltopup"
5,1482,"คาราบาวแดง"
5,1464,"เป๊ปซี่ สลิม 245 มล."
5,1399,"โค้ก-สลิม"
5,1394,"SCBDEPOSIT"
5,1364,"น้ำดื่ม อุลตร้าแมน ขนาด 500ml."
5,1329,"AISPROSERM"
5,1314,"KTBDEPOSIT"
5,1054,"บิ๊กกรีนที น้ำผึ้งผสมมะนาว"
5,1016,"DTACPROSERM"
5,1010,"TRUEPROSERM"
5,986,"เมจิกฟาร์ม มะพร้าว"
5,861,"เนสกาแฟ เอสเปรสโซ"
5,845,"MYCAT"
5,827,"เนสกาแฟ ลาเต้"
5,824,"บิ๊กกรีนที"
5,818,"GSBDEPOSIT"
5,814,"น้ำแร่ อุลตร้าแมน ขนาด 500 มล."
5,785,"GSBDEPOSITONLINE"
5,778,"PEA"
5,769,"manualtopup"
5,753,"ชเวปส์"
5,714,"topup_rev"
5,694,"เอส เพลย์ ครีมโซดา"
5,691,"เครื่องดื่มเจลลี่รสสตรอเบอร์รี่6.11"
5,674,"BAACDEPOSIT"
5,666,"AIRPAYWALLET"
5,644,"เอส-โคล่า"
5,625,"แฟนต้า แดง 245 มล."
5,611,"เอส เพลย์ เกรปเบอร์รี่ 250 มล."
5,608,"เอ็ม-150"
5,591,"เบอร์ดี้โรบัสต้า 180 มล."
5,577,"บิ๊กโคล่า-น้ำดำ"
5,571,"611 น้ำเกลือแร่(Six.Eleven)"
5,558,"UFC- เฉาก๊วย"
5,533,"ซีวิท-ออเร้นจ์"
5,525,"สิงห์ เลมอนโซดา 330 มล."
5,525,"APLAY"
5,516,"เอส เพลย์ สตรอเบอร์รี่ 250 มล. (กระป๋อง)"
5,511,"TMNEPIN"
5,509,"BAYDEPOSIT"
5,456,"โวลต์ กาแฟอีนและซิงค์ 215 มล."
5,438,"โค้ก-ซีโร่ 245ml. (1x12)"
5,399,"611 น้ำวิตามินซี (Six.Eleven)"
5,389,"ซีวิท-เลมอน"
5,373,"TRUEPOSTPAID"
5,360,"น้ำแร่มองต์เฟลอ"
5,348,"611 เอ็มจอย 300ml. องุ่น"
5,315,"อิชิตัน เย็นเย็น จับเลี้ยง 275ml."
5,276,"AISBILL"
5,270,"เบอร์ดี้เอสเปรสโซ"
5,255,"xferout"
5,255,"xferin"
5,254,"DTACPOSTPAIDONLINE"
5,253,"เทสโต แผ่นหยัก ปูผัดผงกระหรี่"
5,246,"3BBONLINE"
5,242,"ฮานามิ"
5,242,"ปาปริก้า"
5,240,"มาม่า คัพ ต้มยำกุ้ง"
5,220,"คอนเน่"
5,218,"ปาร์ตี้ คาราเมล"
5,215,"สแน็คแจ๊ค"
5,214,"เทสโต แผ่นเรียบ รสสาหร่ายญี่ปุ่น 52 กรัม"
5,213,"มาม่า คัพ ต้มยำกุ้งน้ำข้น 60 กรัม"
5,210,"611 เอ็มจอย300ml ลิ้นจี่"
5,210,"เลย์ รสมันฝรั่งแท้ออริจินัลแผ่นหยัก"
5,206,"น้ำดื่มเวนดิ้งพลัส อัลคาไลน์วอเตอร์"
5,197,"SBMTOPUPWALLET"
5,186,"มาม่า คัพ หมูสับ"
5,171,"เลย์ รสโนริสาหร่าย"
5,170,"เลย์ รสเอ๊กซ์ตร้า บาร์บีคิว"
5,170,"นิสชิน พรีเมี่ยมคัพ รสไก่เผ็ดเกาหลี"
5,163,"เครื่องดื่มกัญชง ตรา คามูซี"
5,155,"โดโซะรสคอร์นชีส 56g (10ชิ้น)"
5,151,"โค้ก (ขวด)"
5,141,"RABBITLINEPAY"
5,133,"โดโซะรสกลมกล่อม 56g (10ชิ้น)"
5,126,"ลิปตัน ไอซ์ที"
5,122,"PWA"
5,114,"เจเล่ บิวตี้ วิตามิน เอ.ซี.อี. 150 กรัม"
5,114,"พริงเกิลส์-ซาวครีม"
5,110,"เบอร์ดี้แบล็ค น้ำตาลน้อย 180 ml."
5,109,"FOODCOURT_TOPUP"
5,109,"พริงเกิลส์-ดั้งเดิม"
5,103,"เขาช่อง ถั่วลิสงอบเกลือ 42 กรัม"
5,97,"โคอะล่ามาร์ช-ช๊อกโกแล็ต"
5,97,"นมถั่วเหลืองแลตตาซอย รสหวาน250มล."
5,96,"นมไวตามิ้ลค์ กล่องสูตรออริจินอล 300 มล."
5,94,"ลูกอมรสมะนาวผสมเกลือหิมาลัย"
5,93,"เป๊ปซี่ แมกซ์ 245 มล."
5,92,"โฟร์โมสต์ นมยูเอชที รสช็อกโกแลต 225 มล."
5,88,"เจเล่ บิวตี้ แบล็คเคอเรนท์ 150 กรัม"
5,82,"โฟร์โมสต์ยูเอที225มล.รสหวาน"
5,81,"โฟร์โมสต์ นมยูเอชที รสจืด 225 มล."
5,80,"ลูกอมฮอล์น้ำผึ้ง(แผง)"
5,75,"โคอะล่ามาร์ช-สตรอเบอร์รี"
5,75,"ทาโร่โรล 2ม. รสเข้มข้น"
5,73,"นมไวตามิ้ลค์ กล่องรสงาดำ"
5,71,"TOLCVG"
5,62,"TMHMOBILE"
5,61,"SBMDIPCHIP"
5,60,"manualcredit"
5,58,"นมไวตามิ้ลค์ขวดสูตรออริจินอล (ทูโก)"
5,57,"TRIPLETBB"
5,56,"ยูนิฟ น้ำผักผสมผลไม้รวมผักใบเขียว"
