"entity","device","lat","lng"
"VDC","AJT000","0 "," 0"
"VDC","AJT023","0 "," 0"
"VDC","AJT024","0 "," 0"
"VDC","AJT058","0 "," 0"
"VDC","AJT064","0 "," 0"
"VDC","AJT079","0 "," 0"
"VDC","AJT100000","0 "," 0"
"VDC","AJT100005","0 "," 0"
"VDC","AJT10002","0 "," 0"
"VDC","AJT100021","0 "," 0"
"VDC","AJT100035","16.0916390000000007 "," 102.430747999999994"
"VDC","AJT10004","0 "," 0"
"VDC","AJT100042","0 "," 0"
"VDC","AJT100043","0 "," 0"
"VDC","AJT100045","0 "," 0"
"VDC","AJT100050","0 "," 0"
"VDC","AJT100066","0 "," 0"
"VDC","AJT100109","0 "," 0"
"VDC","AJT100130","0 "," 0"
"VDC","AJT10014","0 "," 0"
"VDC","AJT100140","0 "," 0"
"VDC","AJT100150","0 "," 0"
"VDC","AJT100156","14.0961219999999994 "," 99.9906079999999946"
"VDC","AJT100158","0 "," 0"
"VDC","AJT100173","0 "," 0"
"VDC","AJT100176","0 "," 0"
"VDC","AJT100185","0 "," 0"
"VDC","AJT100191","0 "," 0"
"VDC","AJT100192","0 "," 0"
"VDC","AJT100195","0 "," 0"
"VDC","AJT100215","0 "," 0"
"VDC","AJT100217","0 "," 0"
"VDC","AJT100221","0 "," 0"
"VDC","AJT100222","0 "," 0"
"VDC","AJT100228","0 "," 0"
"VDC","AJT100234","0 "," 0"
"VDC","AJT100237","0 "," 0"
"VDC","AJT100244","0 "," 0"
"VDC","AJT100246","0 "," 0"
"VDC","AJT100247","13.7273849999999999 "," 100.245705000000001"
"VDC","AJT100248","0 "," 0"
"VDC","AJT100250","0 "," 0"
"VDC","AJT100251","0 "," 0"
"VDC","AJT100252","0 "," 0"
"VDC","AJT100254","0 "," 0"
"VDC","AJT100255","0 "," 0"
"VDC","AJT100256","0 "," 0"
"VDC","AJT100258","0 "," 0"
"VDC","AJT100259","0 "," 0"
"VDC","AJT10026","0 "," 0"
"VDC","AJT100260","0 "," 0"
"VDC","AJT100261","0 "," 0"
"VDC","AJT100262","0 "," 0"
"VDC","AJT100263","0 "," 0"
"VDC","AJT100265","0 "," 0"
"VDC","AJT100267","0 "," 0"
"VDC","AJT100268","0 "," 0"
"VDC","AJT100272","0 "," 0"
"VDC","AJT100275","0 "," 0"
"VDC","AJT100277","0 "," 0"
"VDC","AJT100278","0 "," 0"
"VDC","AJT100279","0 "," 0"
"VDC","AJT100280","0 "," 0"
"VDC","AJT100281","0 "," 0"
"VDC","AJT100282","0 "," 0"
"VDC","AJT100284","0 "," 0"
"VDC","AJT100286","0 "," 0"
"VDC","AJT100292","0 "," 0"
"VDC","AJT100294","0 "," 0"
"VDC","AJT100296","0 "," 0"
"VDC","AJT100301","0 "," 0"
"VDC","AJT100302","0 "," 0"
"VDC","AJT100304","0 "," 0"
"VDC","AJT100308","0 "," 0"
"VDC","AJT100309","0 "," 0"
"VDC","AJT10031","0 "," 0"
"VDC","AJT100310","0 "," 0"
"VDC","AJT100311","0 "," 0"
"VDC","AJT100312","0 "," 0"
"VDC","AJT100313","0 "," 0"
"VDC","AJT100314","0 "," 0"
"VDC","AJT100315","0 "," 0"
"VDC","AJT100316","0 "," 0"
"VDC","AJT100317","0 "," 0"
"VDC","AJT100318","0 "," 0"
"VDC","AJT100319","0 "," 0"
"VDC","AJT100321","0 "," 0"
"VDC","AJT100323","0 "," 0"
"VDC","AJT100324","0 "," 0"
"VDC","AJT100325","0 "," 0"
"VDC","AJT100327","0 "," 0"
"VDC","AJT100328","0 "," 0"
"VDC","AJT100329","0 "," 0"
"VDC","AJT100330","0 "," 0"
"VDC","AJT100331","0 "," 0"
"VDC","AJT100333","0 "," 0"
"VDC","AJT100335","0 "," 0"
"VDC","AJT100336","0 "," 0"
"VDC","AJT100337","0 "," 0"
"VDC","AJT100338","0 "," 0"
"VDC","AJT100339","0 "," 0"
"VDC","AJT100340","0 "," 0"
"VDC","AJT100341","0 "," 0"
"VDC","AJT100342","0 "," 0"
"VDC","AJT100343","0 "," 0"
"VDC","AJT100344","0 "," 0"
"VDC","AJT100372","0 "," 0"
"VDC","AJT100373","0 "," 0"
"VDC","AJT100374","0 "," 0"
"VDC","AJT100376","7.99478000000000044 "," 99.0397799999999933"
"VDC","AJT100380","0 "," 0"
"VDC","AJT100382","0 "," 0"
