"day","count","service_product"
1,34932,"debit"
1,27543,"topup"
1,23720,"credit"
1,10335,"transferin"
1,10166,"transferout"
1,8787,"fee"
1,6024,"topupfee"
1,3991,"debit_rev"
1,3951,"manualtopup"
1,2047,"AIS"
1,2032,"DTAC"
1,2027,"TRUE"
1,2010,"TMNTOPUP"
1,1840,"KBANKDEPOSIT"
1,1725,"KTBDEPOSIT"
1,1701,"M-150 น้ำผึ้ง 150 มล."
1,1628,"AISPROSERM"
1,1501,"SCBDEPOSIT"
1,1336,"dvcashin"
1,1216,"TRUEPROSERM"
1,1187,"DTACPROSERM"
1,1184,"คาราบาวแดง"
1,1175,"MYCAT"
1,1139,"PEA"
1,972,"โค้ก-สลิม"
1,962,"เป๊ปซี่ สลิม 245 มล."
1,956,"บิ๊กกรีนที น้ำผึ้งผสมมะนาว"
1,915,"น้ำแร่ อุลตร้าแมน ขนาด 500 มล."
1,906,"GSBDEPOSIT"
1,882,"AIRPAYWALLET"
1,857,"น้ำดื่ม อุลตร้าแมน ขนาด 500ml."
1,843,"payrolltopup"
1,840,"GSBDEPOSITONLINE"
1,774,"เมจิกฟาร์ม มะพร้าว"
1,673,"APLAY"
1,657,"เนสกาแฟ ลาเต้"
1,653,"BAACDEPOSIT"
1,631,"เนสกาแฟ เอสเปรสโซ"
1,609,"TMNEPIN"
1,552,"BAYDEPOSIT"
1,551,"บิ๊กกรีนที"
1,547,"เครื่องดื่มเจลลี่รสสตรอเบอร์รี่6.11"
1,525,"ชเวปส์"
1,500,"เอ็ม-150"
1,486,"เอส-โคล่า"
1,479,"สิงห์ เลมอนโซดา 330 มล."
1,477,"เอส เพลย์ เกรปเบอร์รี่ 250 มล."
1,476,"เอส เพลย์ ครีมโซดา"
1,448,"แฟนต้า แดง 245 มล."
1,444,"dvcashin_rev"
1,438,"UFC- เฉาก๊วย"
1,419,"เบอร์ดี้โรบัสต้า 180 มล."
1,388,"โวลต์ กาแฟอีนและซิงค์ 215 มล."
1,373,"AISBILL"
1,357,"topup_rev"
1,349,"3BBONLINE"
1,334,"บิ๊กโคล่า-น้ำดำ"
1,327,"เอส เพลย์ สตรอเบอร์รี่ 250 มล. (กระป๋อง)"
1,325,"น้ำดื่มเวนดิ้งพลัส อัลคาไลน์วอเตอร์"
1,308,"ซีวิท-ออเร้นจ์"
1,301,"611 น้ำเกลือแร่(Six.Eleven)"
1,300,"611 น้ำวิตามินซี (Six.Eleven)"
1,267,"611 เอ็มจอย300ml ลิ้นจี่"
1,259,"ปาปริก้า"
1,248,"TRIPLETBB"
1,247,"ซีวิท-เลมอน"
1,240,"เทสโต แผ่นหยัก ปูผัดผงกระหรี่"
1,237,"manualcredit"
1,234,"โค้ก-ซีโร่ 245ml. (1x12)"
1,231,"ฮานามิ"
1,230,"มาม่า คัพ ต้มยำกุ้ง"
1,217,"สแน็คแจ๊ค"
1,210,"611 เอ็มจอย 300ml. องุ่น"
1,210,"เทสโต แผ่นเรียบ รสสาหร่ายญี่ปุ่น 52 กรัม"
1,207,"TRUEPOSTPAID"
1,201,"อิชิตัน เย็นเย็น จับเลี้ยง 275ml."
1,199,"คอนเน่"
1,196,"ปาร์ตี้ คาราเมล"
1,195,"มาม่า คัพ ต้มยำกุ้งน้ำข้น 60 กรัม"
1,193,"เบอร์ดี้เอสเปรสโซ"
1,184,"มาม่า คัพ หมูสับ"
1,184,"เลย์ รสมันฝรั่งแท้ออริจินัลแผ่นหยัก"
1,178,"เครื่องดื่มกัญชง ตรา คามูซี"
1,177,"โดโซะรสคอร์นชีส 56g (10ชิ้น)"
1,172,"DTACPOSTPAIDONLINE"
1,164,"นิสชิน พรีเมี่ยมคัพ รสไก่เผ็ดเกาหลี"
1,158,"เลย์ รสโนริสาหร่าย"
1,156,"SBMTOPUPWALLET"
1,150,"โดโซะรสกลมกล่อม 56g (10ชิ้น)"
1,150,"เลย์ รสเอ๊กซ์ตร้า บาร์บีคิว"
1,150,"ลิปตัน ไอซ์ที"
1,138,"พริงเกิลส์-ซาวครีม"
1,126,"โคอะล่ามาร์ช-ช๊อกโกแล็ต"
1,120,"เจเล่ บิวตี้ วิตามิน เอ.ซี.อี. 150 กรัม"
1,115,"พริงเกิลส์-ดั้งเดิม"
1,115,"เจเล่ บิวตี้ แบล็คเคอเรนท์ 150 กรัม"
1,112,"โฟร์โมสต์ นมยูเอชที รสช็อกโกแลต 225 มล."
1,107,"โค้ก (ขวด)"
1,107,"นมไวตามิ้ลค์ กล่องสูตรออริจินอล 300 มล."
1,106,"SBMDIPCHIP"
1,104,"BBLKYCDIPCHIP"
1,104,"นมถั่วเหลืองแลตตาซอย รสหวาน250มล."
1,103,"โฟร์โมสต์ยูเอที225มล.รสหวาน"
1,99,"ยูนิฟ น้ำผักผสมผลไม้รวมผักใบเขียว"
1,99,"ลูกอมรสมะนาวผสมเกลือหิมาลัย"
1,99,"โฟร์โมสต์ นมยูเอชที รสจืด 225 มล."
1,94,"เป๊ปซี่ แมกซ์ 245 มล."
1,91,"โคอะล่ามาร์ช-สตรอเบอร์รี"
1,89,"TRUECONVERGENCE"
1,87,"ยูนิฟ น้ำผักผสมผลไม้รวม แครอทม่วง"
1,84,"RABBITLINEPAY"
1,83,"TRUEONLINE"
1,81,"ทาโร่โรล 2ม. รสเข้มข้น"
1,78,"เขาช่อง ถั่วลิสงอบเกลือ 42 กรัม"
1,78,"ลูกอมฮอล์น้ำผึ้ง(แผง)"
1,74,"MEA"
1,74,"นมไวตามิ้ลค์ กล่องรสงาดำ"
1,71,"โฟร์โมสต์ โอเมก้าโยเกิร์ต รสผลไม้"
1,63,"โฟร์โมสต์ โอเมก้าโยเกิร์ต รสส้ม"
1,57,"PENGUIN"
1,57,"เขาช่อง ถั่วลิสงเคลือบรสกาแฟ 30 กรัม"
1,56,"น้ำแร่มองต์เฟลอ"
1,54,"ยูนิฟ-แครอทม่วง(กระป๋อง)"
1,52,"MISTINE"
1,49,"611 HONEY LYCHEE 320ml (ลิ้นจี่)"
1,43,"ทาโร่โรล 2ม. รสบาร์บีคิว"
1,38,"GETFRIEND"
1,34,"เบอร์ดี้แบล็ค น้ำตาลน้อย 180 ml."
1,32,"TMHMOBILE"
1,32,"RABBITCARD-TOPUP"
1,32,"ยันฮี วิตามิน วอเตอร์ ไครแซนเทมั่ม"
1,30,"RABBITCARD-REGISTER"
1,30,"RABBITCARD-SALE"
1,30,"ผลิตภัณฑ์นมจืด ตรา ว้าวว"
1,26,"STEAMWALLET"
1,22,"ชาฮิโรฉะ น้ำผึ้งมะนาว ขนาด 250ml."
1,21,"PWA"
1,20,"มิลค์โก้ (ซอง) รสหวาน"
1,17,"นมไวตามิ้ลค์ขวดสูตรออริจินอล (ทูโก)"
1,15,"xferin"
1,15,"xferout"
1,12,"น้ำดื่มดราก้อน 6.11"
1,12,"MPAYWALLET"
1,10,"เอส PET 490มล."
1,7,"เครื่องดื่ม น้ำกัญชา แบบอัดลม"
1,6,"ชาฮิโรฉะ ไอซ์ทีเลมอน ขนาด 250ml."
1,5,"credit_rev"
1,4,"TOLCVG"
1,4,"CIMBDEPOSIT"
1,4,"AISFIBRE"
1,3,"น้ำดื่มเอสเทอร์บันนี่ 300 มล."
1,3,"BAACLOTTO"
1,3,"หน้ากากทางการแพทย์ ดั๊บเบิ้ล เอ"
1,2,"ลูกอมฮอล์ลเมนโท(แผง)"
1,2,"น้ำด่าง PH+8.5  (Alkaline)"
1,2,"SABUYWASH"
1,2,"หน้ากาก Triple Mask สีน้ำเงิน มีสายคล้อง"
1,2,"อิชิตัน กรีนที น้ำผึ้งผสมมะนาว 275 มล."
1,1,"เอ็ม-150 กระชายดำน้ำผึ้ง"
1,1,"PAYMENT"
1,1,"MPAYMEA"
1,1,"manualtopup_rev"
1,1,NULL
