"user_last_use","to_char","count","service_product"
"2022-03-31 10:24:55.361","10:24:55",48195,"topup"
"2022-03-31 10:24:55.361","10:24:55",48195,"dvcashin"
"2022-03-31 10:24:55.361","10:24:55",48195,"debit"
"2022-03-31 10:24:55.361","10:24:55",48195,"credit"
"2022-03-31 10:24:55.361","10:24:55",48195,"topup_rev"
"2022-03-31 10:24:55.361","10:24:55",48195,"topupfee"
"2022-12-29 11:02:38.404","11:02:38",5182,"topup"
"2022-12-29 11:02:38.404","11:02:38",5182,"fee"
"2022-12-29 11:02:38.404","11:02:38",5182,"debit_rev"
"2022-12-29 11:02:38.404","11:02:38",5182,"debit"
"2022-12-29 11:02:38.404","11:02:38",5182,"credit"
"2022-10-25 05:14:02.24","05:14:02",4973,"debit"
"2022-10-25 05:14:02.24","05:14:02",4973,"credit"
"2022-10-25 05:14:02.24","05:14:02",4973,"fee"
"2022-10-25 05:14:02.24","05:14:02",4973,"topup"
"2022-10-25 05:14:02.24","05:14:02",4973,"transferout"
"2022-10-25 05:14:02.24","05:14:02",4973,"transferin"
"2022-10-18 06:48:05.761","06:48:05",3105,"debit"
"2022-10-18 06:48:05.761","06:48:05",3105,"topup"
"2022-10-18 06:48:05.761","06:48:05",3105,"fee"
"2022-10-18 06:48:05.761","06:48:05",3105,"debit_rev"
"2022-10-18 06:48:05.761","06:48:05",3105,"credit"
"2022-12-22 09:11:40.553","09:11:40",3028,"debit_rev"
"2022-12-22 09:11:40.553","09:11:40",3028,"commission"
"2022-12-22 09:11:40.553","09:11:40",3028,"credit"
"2022-12-22 09:11:40.553","09:11:40",3028,"topup"
"2022-12-22 09:11:40.553","09:11:40",3028,"manualtopup"
"2022-12-22 09:11:40.553","09:11:40",3028,"dvcashin"
"2022-12-22 09:11:40.553","09:11:40",3028,"credit_rev"
"2022-12-22 09:11:40.553","09:11:40",3028,"debit"
"2022-11-03 11:40:28.9","11:40:28",2394,"debit_rev"
"2022-11-03 11:40:28.9","11:40:28",2394,"transferin"
"2022-11-03 11:40:28.9","11:40:28",2394,"topup"
"2022-11-03 11:40:28.9","11:40:28",2394,"credit"
"2022-11-03 11:40:28.9","11:40:28",2394,"debit"
"2022-11-03 11:40:28.9","11:40:28",2394,"fee"
"2022-11-03 11:40:28.9","11:40:28",2394,"transferout"
"2022-11-03 06:37:19.165","06:37:19",2182,"debit_rev"
"2022-11-03 06:37:19.165","06:37:19",2182,"fee"
"2022-11-03 06:37:19.165","06:37:19",2182,"credit"
"2022-11-03 06:37:19.165","06:37:19",2182,"debit"
"2022-11-03 06:37:19.165","06:37:19",2182,"topup"
"2022-10-09 07:12:45.722","07:12:45",2165,"topup"
"2022-10-09 07:12:45.722","07:12:45",2165,"transferin"
"2022-10-09 07:12:45.722","07:12:45",2165,"debit"
"2022-10-09 07:12:45.722","07:12:45",2165,"fee"
"2022-10-10 05:13:23.547","05:13:23",2018,"debit_rev"
"2022-10-10 05:13:23.547","05:13:23",2018,"debit"
"2022-10-10 05:13:23.547","05:13:23",2018,"topup"
"2022-10-10 05:13:23.547","05:13:23",2018,"credit"
"2022-10-10 05:13:23.547","05:13:23",2018,"transferout"
