"day","count","service_product"
6,9968349,"debit"
6,9965385,"topup"
6,9933878,"credit"
6,9903618,"dvcashin"
6,7250766,"topupfee"
6,7221753,"topup_rev"
6,2684891,"manualtopup"
6,2679928,"debit_rev"
6,2670297,"credit_rev"
6,2670296,"commission"
6,22907,"fee"
6,12430,"transferout"
6,10323,"transferin"
6,10169,"dvcashin_rev"
6,5484,"xferout"
6,5484,"xferin"
6,4768,"AIS"
6,4759,"TRUE"
6,4754,"TMNTOPUP"
6,4688,"DTAC"
6,4403,"KBANKDEPOSIT"
6,4358,"SCBDEPOSIT"
6,4267,"KTBDEPOSIT"
6,3766,"TRUEPROSERM"
6,3739,"M-150 น้ำผึ้ง 150 มล."
6,3512,"AIRPAYWALLET"
6,3107,"MYCAT"
6,3077,"manualcredit"
6,3047,"GSBDEPOSITONLINE"
6,2844,"BAACDEPOSIT"
6,2633,"PEA"
6,2540,"AISPROSERM"
6,2511,"DTACPROSERM"
6,2502,"TMNEPIN"
6,2494,"คาราบาวแดง"
6,2176,"น้ำดื่ม อุลตร้าแมน ขนาด 500ml."
6,2130,"เป๊ปซี่ สลิม 245 มล."
6,2071,"โค้ก-สลิม"
6,1902,"3BBONLINE"
6,1768,"GSBDEPOSIT"
6,1652,"บิ๊กกรีนที น้ำผึ้งผสมมะนาว"
6,1587,"เมจิกฟาร์ม มะพร้าว"
6,1577,"เอ็ม-150"
6,1344,"เนสกาแฟ เอสเปรสโซ"
6,1307,"น้ำแร่ อุลตร้าแมน ขนาด 500 มล."
6,1281,"manualdebit"
6,1206,"BAYDEPOSIT"
6,1186,"เนสกาแฟ ลาเต้"
6,1159,"บิ๊กกรีนที"
6,1147,"APLAY"
6,1075,"ชเวปส์"
6,1053,"เครื่องดื่มเจลลี่รสสตรอเบอร์รี่6.11"
6,1023,"เอส เพลย์ ครีมโซดา"
6,963,"เบอร์ดี้โรบัสต้า 180 มล."
6,918,"โวลต์ กาแฟอีนและซิงค์ 215 มล."
6,901,"บิ๊กโคล่า-น้ำดำ"
6,898,"UFC- เฉาก๊วย"
6,896,"เอส-โคล่า"
6,865,"แฟนต้า แดง 245 มล."
6,814,"เอส เพลย์ เกรปเบอร์รี่ 250 มล."
6,782,"สิงห์ เลมอนโซดา 330 มล."
6,741,"ซีวิท-ออเร้นจ์"
6,617,"AISBILL"
6,615,"ซีวิท-เลมอน"
6,610,"อิชิตัน เย็นเย็น จับเลี้ยง 275ml."
6,591,"611 น้ำวิตามินซี (Six.Eleven)"
6,564,"เอส เพลย์ สตรอเบอร์รี่ 250 มล. (กระป๋อง)"
6,548,"611 น้ำเกลือแร่(Six.Eleven)"
6,495,"611 เอ็มจอย 300ml. องุ่น"
6,442,"payrolltopup"
6,440,"เบอร์ดี้เอสเปรสโซ"
6,396,"โค้ก-ซีโร่ 245ml. (1x12)"
6,381,"RABBITLINEPAY"
6,378,"เครื่องดื่มกัญชง ตรา คามูซี"
6,346,"611 เอ็มจอย300ml ลิ้นจี่"
6,321,"TRUEPOSTPAID"
