"entity","service","sub_service","sum","count"
"VDC","PEA","PEA",841510.0,1836
"VDC","KBANKDEPOSIT","KBANKDEPOSIT",511548.0,938
"VDC","TMNTOPUP","TMNTOPUP",452520.0,7587
"VDC","SCBDEPOSIT","SCBDEPOSIT",358592.0,735
"VDC","KTBDEPOSIT","KTBDEPOSIT",318370.0,889
"VDC","AIS","AIS",165420.0,3949
"VDC","BAACDEPOSIT","BAACDEPOSIT",51601.0,76
"VDC","GSBDEPOSITONLINE","GSBDEPOSITONLINE",45964.0,75
"VDC","RABBITCARD-TOPUP","RABBITCARD-TOPUP",43400.0,76
"VDC","BAYDEPOSIT","BAYDEPOSIT",34620.0,41
"VDC","GSBDEPOSIT","GSBDEPOSIT",34470.0,49
"VDC","3BBONLINE","3BBONLINE",34366.0,60
"VDC","AIRPAYWALLET","AIRPAYWALLET",32865.0,248
"VDC","FOODCOURT_TOPUP","FOODCOURT_TOPUP",31950.0,275
"VDC","DTAC","DTAC",31000.0,752
"VDC","TRUE","TRUE",28630.0,574
"VDC","SBMTOPUPWALLET","SBMTOPUPWALLET",23020.0,236
"VDC","PWA","PWA",19557.66,143
"VDC","AISBILL","AISBILL",12080.15,20
"VDC","DTACPOSTPAIDONLINE","DTACPOSTPAIDONLINE",10015.0,26
"VDC","DTACPROSERM","DTACPROSERM",5899.0,185
"VDC","CIMBDEPOSIT","CIMBDEPOSIT",3863.0,2
"VDC","MEA","MEA",3227.39,3
"VDC","AISPROSERM","AISPROSERM",2244.0,69
"VDC","MISTINE","MISTINE",2049.0,2
"VDC","TRIPLETBB","TRIPLETBB",1895.0,3
"VDC","TRUEPROSERM","TRUEPROSERM",1110.0,36
"VDC","RABBITLINEPAY","RABBITLINEPAY",1100.0,9
"VDC","TRUEONLINE","TRUEONLINE",959.0,3
"VDC","TRUEPOSTPAID","TRUEPOSTPAID",615.0,8
"VDC","BAACLOTTO","BAACLOTTO",600.0,2
"VDC","MYCAT","MYCAT",540.0,28
"VDC","AISFIBRE","AISFIBRE",426.93,1
"VDC","RABBITCARD-SALE","RABBITCARD-SALE",300.0,3
"VDC","TMNEPIN","TMNEPIN",150.0,3
"VDC","SABUYWASH","SABUYWASH",99.0,3
"VDC","GETFRIEND","GETFRIEND",3.0,3
"VDC","RABBITCARD-REGISTER","RABBITCARD-REGISTER",0.0,4
"VDC","SBMDIPCHIP","SBMDIPCHIP",0.0,70
"VDC","TMHMOBILE","TMHMOBILE",0.0,1
"VDC","APLAY","APLAY",0.0,2
