"day","count","service_product"
4,153174,"debit"
4,140151,"topup"
4,109464,"credit"
4,62787,"topupfee"
4,53889,"dvcashin"
4,48195,"topup_rev"
4,48021,"fee"
4,35417,"transferout"
4,28046,"transferin"
4,21684,"debit_rev"
4,18758,"manualtopup"
4,3372,"credit_rev"
4,3308,"commission"
4,2611,"AIS"
4,2594,"TRUE"
4,2589,"DTAC"
4,2531,"TMNTOPUP"
4,2355,"KBANKDEPOSIT"
4,2211,"payrolltopup"
4,2165,"KTBDEPOSIT"
4,2133,"SCBDEPOSIT"
4,2054,"AISPROSERM"
4,2004,"M-150 น้ำผึ้ง 150 มล."
4,1712,"dvcashin_rev"
4,1688,"TRUEPROSERM"
4,1602,"DTACPROSERM"
4,1598,"GSBDEPOSITONLINE"
4,1416,"คาราบาวแดง"
4,1390,"MYCAT"
4,1182,"PEA"
4,1048,"น้ำดื่ม อุลตร้าแมน ขนาด 500ml."
4,1040,"เป๊ปซี่ สลิม 245 มล."
4,1038,"GSBDEPOSIT"
4,1026,"โค้ก-สลิม"
4,1021,"AIRPAYWALLET"
4,969,"TMNEPIN"
4,916,"BAACDEPOSIT"
4,890,"น้ำแร่ อุลตร้าแมน ขนาด 500 มล."
4,786,"บิ๊กกรีนที น้ำผึ้งผสมมะนาว"
4,784,"AISBILL"
4,769,"BAYDEPOSIT"
4,745,"เมจิกฟาร์ม มะพร้าว"
4,717,"APLAY"
4,717,"เอ็ม-150"
4,657,"เนสกาแฟ เอสเปรสโซ"
4,652,"บิ๊กกรีนที"
4,620,"เนสกาแฟ ลาเต้"
4,603,"เอส-โคล่า"
4,585,"ชเวปส์"
4,545,"xferin"
4,545,"xferout"
4,534,"เครื่องดื่มเจลลี่รสสตรอเบอร์รี่6.11"
4,518,"บิ๊กโคล่า-น้ำดำ"
4,509,"เบอร์ดี้โรบัสต้า 180 มล."
4,500,"เอส เพลย์ ครีมโซดา"
4,484,"เทสโต แผ่นหยัก ปูผัดผงกระหรี่"
4,483,"มาม่า คัพ ต้มยำกุ้ง"
4,472,"แฟนต้า แดง 245 มล."
4,470,"UFC- เฉาก๊วย"
4,469,"มาม่า คัพ ต้มยำกุ้งน้ำข้น 60 กรัม"
4,466,"มาม่า คัพ หมูสับ"
4,461,"ปาปริก้า"
4,452,"ฮานามิ"
4,446,"โวลต์ กาแฟอีนและซิงค์ 215 มล."
4,445,"เอส เพลย์ เกรปเบอร์รี่ 250 มล."
4,445,"manualcredit"
4,441,"ซีวิท-ออเร้นจ์"
4,434,"สแน็คแจ๊ค"
4,430,"เลย์ รสมันฝรั่งแท้ออริจินัลแผ่นหยัก"
4,417,"เทสโต แผ่นเรียบ รสสาหร่ายญี่ปุ่น 52 กรัม"
4,404,"พริงเกิลส์-ซาวครีม"
4,399,"ปาร์ตี้ คาราเมล"
4,396,"ซีวิท-เลมอน"
4,393,"611 เอ็มจอย 300ml. องุ่น"
4,384,"นิสชิน พรีเมี่ยมคัพ รสไก่เผ็ดเกาหลี"
4,377,"TRUEPOSTPAID"
4,375,"สิงห์ เลมอนโซดา 330 มล."
4,374,"คอนเน่"
4,371,"เอส เพลย์ สตรอเบอร์รี่ 250 มล. (กระป๋อง)"
4,370,"611 น้ำวิตามินซี (Six.Eleven)"
4,338,"เลย์ รสโนริสาหร่าย"
4,318,"611 น้ำเกลือแร่(Six.Eleven)"
4,308,"ลิปตัน ไอซ์ที"
4,302,"เลย์ รสเอ๊กซ์ตร้า บาร์บีคิว"
4,284,"เจเล่ บิวตี้ วิตามิน เอ.ซี.อี. 150 กรัม"
4,280,"พริงเกิลส์-ดั้งเดิม"
4,271,"611 เอ็มจอย300ml ลิ้นจี่"
4,264,"โดโซะรสกลมกล่อม 56g (10ชิ้น)"
4,244,"ลูกอมรสมะนาวผสมเกลือหิมาลัย"
4,235,"โค้ก-ซีโร่ 245ml. (1x12)"
4,234,"โดโซะรสคอร์นชีส 56g (10ชิ้น)"
4,219,"นมไวตามิ้ลค์ กล่องสูตรออริจินอล 300 มล."
4,219,"3BBONLINE"
4,214,"เจเล่ บิวตี้ แบล็คเคอเรนท์ 150 กรัม"
4,192,"โคอะล่ามาร์ช-ช๊อกโกแล็ต"
4,189,"เขาช่อง ถั่วลิสงอบเกลือ 42 กรัม"
4,188,"เบอร์ดี้เอสเปรสโซ"
4,188,"DTACPOSTPAIDONLINE"
4,183,"อิชิตัน เย็นเย็น จับเลี้ยง 275ml."
4,181,"เครื่องดื่มกัญชง ตรา คามูซี"
4,167,"ลูกอมฮอล์น้ำผึ้ง(แผง)"
4,166,"เขาช่อง ถั่วลิสงเคลือบรสกาแฟ 30 กรัม"
4,160,"นมไวตามิ้ลค์ กล่องรสงาดำ"
4,158,"RABBITLINEPAY"
4,158,"โค้ก (ขวด)"
4,157,"โคอะล่ามาร์ช-สตรอเบอร์รี"
4,156,"หน้ากากทางการแพทย์ ดั๊บเบิ้ล เอ"
4,150,"โฟร์โมสต์ โอเมก้าโยเกิร์ต รสผลไม้"
4,144,"ทาโร่โรล 2ม. รสเข้มข้น"
4,136,"โฟร์โมสต์ นมยูเอชที รสช็อกโกแลต 225 มล."
4,130,"AISFIBRE"
4,128,"TRUECONVERGENCE"
4,123,"ยูนิฟ น้ำผักผสมผลไม้รวม แครอทม่วง"
4,119,"TOLCVG"
4,114,"โฟร์โมสต์ยูเอที225มล.รสหวาน"
4,109,"โฟร์โมสต์ นมยูเอชที รสจืด 225 มล."
4,96,"โฟร์โมสต์ โอเมก้าโยเกิร์ต รสส้ม"
4,96,"PENGUIN"
4,94,"TRUEONLINE"
4,93,"SBMTOPUPWALLET"
4,92,"น้ำดื่มเวนดิ้งพลัส อัลคาไลน์วอเตอร์"
4,89,"ยูนิฟ-แครอทม่วง(กระป๋อง)"
4,82,"น้ำแร่มองต์เฟลอ"
4,79,"มิลค์โก้ (ซอง) รสหวาน"
4,78,"หน้ากากผ้าสีดำ+สายคล้องสีแดง N Lux"
4,77,"manualdebit"
4,76,"FOODCOURT_TOPUP"
4,74,"ทาโร่โรล 2ม. รสบาร์บีคิว"
4,73,"ยูนิฟ น้ำผักผสมผลไม้รวมผักใบเขียว"
4,69,"TMHMOBILE"
4,67,"นมถั่วเหลืองแลตตาซอย รสหวาน250มล."
4,64,"เป๊ปซี่ แมกซ์ 245 มล."
4,64,"น้ำด่าง PH+8.5  (Alkaline)"
4,56,"นมไวตามิ้ลค์ขวดสูตรออริจินอล (ทูโก)"
4,55,"โซฟีคูลลิ่งสลิมมีปีก 23ซม.4ชิ้น"
4,52,"หน้ากากผ้า N Lux"
4,52,"หน้ากากสายคล้องคอสีน้ำตาล Mask Drop"
4,52,"ชุดตรวจ Singclean ATK"
4,52,"หน้ากาก Triple Mask สีน้ำเงิน มีสายคล้อง"
4,52,"หน้ากากดั๊บเบิ้ลเอ 3D"
4,45,"BBLKYCDIPCHIP"
4,45,"PWA"
4,38,"SBMDIPCHIP"
4,38,"MEA"
4,26,"GETFRIEND"
4,24,"RABBITCARD-TOPUP"
4,20,"เอส PET 490มล."
4,17,"เดนทีนไอซ์กลิ่นเชอรี่แผง"
4,17,"ยันฮี วิตามิน วอเตอร์ ไครแซนเทมั่ม"
4,15,"น้ำดื่มเอสเทอร์บันนี่ 300 มล."
4,15,"611 HONEY LYCHEE 320ml (ลิ้นจี่)"
4,12,"RABBITCARD-REGISTER"
4,12,"เครื่องดื่ม น้ำกัญชา แบบอัดลม"
4,11,"M-Sport 250 ml."
4,10,"RABBITCARD-SALE"
4,9,"MISTINE"
4,9,"มิรินด้า รสส้ม 245ml."
4,9,"เบอร์ดี้แบล็ค น้ำตาลน้อย 180 ml."
4,8,"ผลิตภัณฑ์นมจืด ตรา ว้าวว"
4,8,"มาม่า คัพ-โจ๊กไก่"
4,5,"ชาฮิโรฉะ น้ำผึ้งมะนาว ขนาด 250ml."
4,5,"TRIPLETBB"
