"day","count","service_product"
2,42550,"debit"
2,33012,"credit"
2,32676,"topup"
2,13950,"transferin"
2,13575,"fee"
2,12793,"transferout"
2,8245,"debit_rev"
2,7289,"topupfee"
2,2363,"AIS"
2,2336,"TRUE"
2,2324,"DTAC"
2,2261,"TMNTOPUP"
2,1991,"payrolltopup"
2,1815,"AISPROSERM"
2,1812,"KBANKDEPOSIT"
2,1723,"DTACPROSERM"
2,1703,"SCBDEPOSIT"
2,1609,"KTBDEPOSIT"
2,1602,"dvcashin"
2,1238,"MYCAT"
2,1095,"M-150 น้ำผึ้ง 150 มล."
2,1060,"GSBDEPOSIT"
2,994,"dvcashin_rev"
2,938,"TRUEPROSERM"
2,910,"คาราบาวแดง"
2,901,"GSBDEPOSITONLINE"
2,901,"PEA"
2,845,"BAACDEPOSIT"
2,811,"AIRPAYWALLET"
2,810,"น้ำดื่ม อุลตร้าแมน ขนาด 500ml."
2,798,"TMNEPIN"
2,772,"เป๊ปซี่ สลิม 245 มล."
2,676,"โค้ก-สลิม"
2,633,"AISBILL"
2,587,"บิ๊กกรีนที น้ำผึ้งผสมมะนาว"
2,564,"เมจิกฟาร์ม มะพร้าว"
2,532,"APLAY"
2,531,"น้ำแร่ อุลตร้าแมน ขนาด 500 มล."
2,511,"บิ๊กกรีนที"
2,508,"manualtopup"
2,504,"เอ็ม-150"
2,498,"เบอร์ดี้โรบัสต้า 180 มล."
2,464,"BAYDEPOSIT"
2,442,"เนสกาแฟ เอสเปรสโซ"
2,441,"เนสกาแฟ ลาเต้"
2,425,"RABBITLINEPAY"
2,396,"UFC- เฉาก๊วย"
2,393,"เอส-โคล่า"
2,377,"ชเวปส์"
2,377,"เอส เพลย์ ครีมโซดา"
2,376,"เอส เพลย์ เกรปเบอร์รี่ 250 มล."
2,372,"เครื่องดื่มเจลลี่รสสตรอเบอร์รี่6.11"
2,344,"แฟนต้า แดง 245 มล."
2,321,"โวลต์ กาแฟอีนและซิงค์ 215 มล."
2,315,"เอส เพลย์ สตรอเบอร์รี่ 250 มล. (กระป๋อง)"
2,314,"ซีวิท-ออเร้นจ์"
2,311,"บิ๊กโคล่า-น้ำดำ"
2,307,"สิงห์ เลมอนโซดา 330 มล."
2,299,"611 น้ำวิตามินซี (Six.Eleven)"
2,295,"xferin"
2,295,"xferout"
2,283,"611 น้ำเกลือแร่(Six.Eleven)"
2,271,"DTACPOSTPAIDONLINE"
2,254,"ซีวิท-เลมอน"
2,238,"TRUEPOSTPAID"
2,221,"611 เอ็มจอย 300ml. องุ่น"
2,218,"SBMTOPUPWALLET"
2,212,"611 เอ็มจอย300ml ลิ้นจี่"
2,204,"โค้ก-ซีโร่ 245ml. (1x12)"
2,189,"PWA"
2,178,"ฮานามิ"
2,176,"ลิปตัน ไอซ์ที"
2,174,"น้ำดื่มเวนดิ้งพลัส อัลคาไลน์วอเตอร์"
2,167,"เทสโต แผ่นหยัก ปูผัดผงกระหรี่"
2,167,"เครื่องดื่มกัญชง ตรา คามูซี"
2,158,"สแน็คแจ๊ค"
2,157,"ปาร์ตี้ คาราเมล"
2,154,"3BBONLINE"
2,151,"ปาปริก้า"
2,146,"เบอร์ดี้เอสเปรสโซ"
2,143,"คอนเน่"
2,137,"เทสโต แผ่นเรียบ รสสาหร่ายญี่ปุ่น 52 กรัม"
2,136,"มาม่า คัพ ต้มยำกุ้ง"
2,127,"โดโซะรสคอร์นชีส 56g (10ชิ้น)"
2,122,"มาม่า คัพ หมูสับ"
2,118,"มาม่า คัพ ต้มยำกุ้งน้ำข้น 60 กรัม"
2,116,"เลย์ รสมันฝรั่งแท้ออริจินัลแผ่นหยัก"
2,112,"GETFRIEND"
2,106,"TMHMOBILE"
2,104,"เลย์ รสเอ๊กซ์ตร้า บาร์บีคิว"
2,102,"credit_rev"
2,102,"พริงเกิลส์-ซาวครีม"
2,102,"พริงเกิลส์-ดั้งเดิม"
2,101,"อิชิตัน เย็นเย็น จับเลี้ยง 275ml."
2,98,"นิสชิน พรีเมี่ยมคัพ รสไก่เผ็ดเกาหลี"
2,97,"TOLCVG"
2,95,"ลูกอมรสมะนาวผสมเกลือหิมาลัย"
2,76,"CIMBDEPOSIT"
2,76,"โดโซะรสกลมกล่อม 56g (10ชิ้น)"
2,75,"เขาช่อง ถั่วลิสงอบเกลือ 42 กรัม"
2,75,"ลูกอมฮอล์น้ำผึ้ง(แผง)"
2,75,"manualcredit"
2,75,"เป๊ปซี่ แมกซ์ 245 มล."
2,71,"เลย์ รสโนริสาหร่าย"
2,69,"โคอะล่ามาร์ช-ช๊อกโกแล็ต"
2,69,"โคอะล่ามาร์ช-สตรอเบอร์รี"
2,69,"BBLKYCDIPCHIP"
2,64,"ทาโร่โรล 2ม. รสเข้มข้น"
2,63,"หน้ากากทางการแพทย์ ดั๊บเบิ้ล เอ"
2,63,"SBMDIPCHIP"
2,60,"TRUEONLINE"
2,58,"น้ำแร่มองต์เฟลอ"
2,52,"MEA"
2,51,"โค้ก (ขวด)"
2,48,"เขาช่อง ถั่วลิสงเคลือบรสกาแฟ 30 กรัม"
2,46,"TRIPLETBB"
2,39,"มิลค์โก้ (ซอง) รสหวาน"
2,37,"เจเล่ บิวตี้ แบล็คเคอเรนท์ 150 กรัม"
2,36,"611 HONEY LYCHEE 320ml (ลิ้นจี่)"
2,35,"เจเล่ บิวตี้ วิตามิน เอ.ซี.อี. 150 กรัม"
2,35,"โฟร์โมสต์ นมยูเอชที รสจืด 225 มล."
2,35,"นมไวตามิ้ลค์ กล่องสูตรออริจินอล 300 มล."
2,34,"MISTINE"
2,34,"FOODCOURT_TOPUP"
2,34,"โฟร์โมสต์ นมยูเอชที รสช็อกโกแลต 225 มล."
2,33,"ทาโร่โรล 2ม. รสบาร์บีคิว"
2,30,NULL
2,30,"โฟร์โมสต์ยูเอที225มล.รสหวาน"
2,29,"ยูนิฟ น้ำผักผสมผลไม้รวมผักใบเขียว"
2,28,"RABBITCARD-TOPUP"
2,27,"หน้ากากผ้าสีดำ+สายคล้องสีแดง N Lux"
