"day","count","service_product"
3,90593,"debit"
3,81279,"topup"
3,50875,"fee"
3,40421,"credit"
3,31371,"manualtopup"
3,27289,"transferin"
3,20251,"transferout"
3,9393,"debit_rev"
3,8414,"topupfee"
3,4134,"dvcashin"
3,3357,"manualtopup_rev"
3,2195,"AIS"
3,2165,"TRUE"
3,2162,"TMNTOPUP"
3,2116,"DTAC"
3,2076,"payrolltopup"
3,1910,"KBANKDEPOSIT"
3,1785,"topup_rev"
3,1761,"SCBDEPOSIT"
3,1709,"AISPROSERM"
3,1695,"KTBDEPOSIT"
3,1691,"dvcashin_rev"
3,1660,"M-150 น้ำผึ้ง 150 มล."
3,1622,"DTACPROSERM"
3,1298,"TRUEPROSERM"
3,1281,"MYCAT"
3,1234,"คาราบาวแดง"
3,1225,"GSBDEPOSITONLINE"
3,1185,"GSBDEPOSIT"
3,1070,"PEA"
3,1019,"เป๊ปซี่ สลิม 245 มล."
3,1010,"AIRPAYWALLET"
3,1009,"น้ำดื่ม อุลตร้าแมน ขนาด 500ml."
3,976,"BAACDEPOSIT"
3,920,"โค้ก-สลิม"
3,828,"TMNEPIN"
3,683,"BAYDEPOSIT"
3,651,"เมจิกฟาร์ม มะพร้าว"
3,629,"น้ำแร่ อุลตร้าแมน ขนาด 500 มล."
3,618,"บิ๊กกรีนที น้ำผึ้งผสมมะนาว"
3,596,"เอ็ม-150"
3,594,"เครื่องดื่มเจลลี่รสสตรอเบอร์รี่6.11"
3,540,"เอส-โคล่า"
3,528,"เนสกาแฟ เอสเปรสโซ"
3,499,"APLAY"
3,494,"เนสกาแฟ ลาเต้"
3,473,"TRUEPOSTPAID"
3,471,"บิ๊กกรีนที"
3,462,"เอส เพลย์ เกรปเบอร์รี่ 250 มล."
3,454,"แฟนต้า แดง 245 มล."
3,450,"สิงห์ เลมอนโซดา 330 มล."
3,447,"เอส เพลย์ ครีมโซดา"
3,433,"ชเวปส์"
3,413,"โวลต์ กาแฟอีนและซิงค์ 215 มล."
3,392,"UFC- เฉาก๊วย"
3,387,"เบอร์ดี้โรบัสต้า 180 มล."
3,384,"บิ๊กโคล่า-น้ำดำ"
3,381,"AISBILL"
3,309,"611 น้ำเกลือแร่(Six.Eleven)"
3,299,"611 น้ำวิตามินซี (Six.Eleven)"
3,293,"เอส เพลย์ สตรอเบอร์รี่ 250 มล. (กระป๋อง)"
3,284,"ปาปริก้า"
3,283,"มาม่า คัพ ต้มยำกุ้ง"
3,282,"ซีวิท-ออเร้นจ์"
3,271,"เบอร์ดี้เอสเปรสโซ"
3,265,"มาม่า คัพ หมูสับ"
3,256,"โค้ก-ซีโร่ 245ml. (1x12)"
3,249,"ฮานามิ"
3,246,"เทสโต แผ่นหยัก ปูผัดผงกระหรี่"
3,243,"ปาร์ตี้ คาราเมล"
3,237,"คอนเน่"
3,236,"ซีวิท-เลมอน"
3,232,"มาม่า คัพ ต้มยำกุ้งน้ำข้น 60 กรัม"
3,226,"อิชิตัน เย็นเย็น จับเลี้ยง 275ml."
3,215,"สแน็คแจ๊ค"
3,213,"นิสชิน พรีเมี่ยมคัพ รสไก่เผ็ดเกาหลี"
3,205,"DTACPOSTPAIDONLINE"
3,202,"น้ำดื่มเวนดิ้งพลัส อัลคาไลน์วอเตอร์"
3,198,"3BBONLINE"
3,189,"เทสโต แผ่นเรียบ รสสาหร่ายญี่ปุ่น 52 กรัม"
3,189,"เลย์ รสมันฝรั่งแท้ออริจินัลแผ่นหยัก"
3,184,"เจเล่ บิวตี้ วิตามิน เอ.ซี.อี. 150 กรัม"
3,183,"โค้ก (ขวด)"
3,172,"611 เอ็มจอย 300ml. องุ่น"
3,170,"โดโซะรสคอร์นชีส 56g (10ชิ้น)"
3,168,"เขาช่อง ถั่วลิสงอบเกลือ 42 กรัม"
3,164,"RABBITLINEPAY"
3,163,"เลย์ รสโนริสาหร่าย"
3,156,"เจเล่ บิวตี้ แบล็คเคอเรนท์ 150 กรัม"
3,154,"เลย์ รสเอ๊กซ์ตร้า บาร์บีคิว"
3,150,"พริงเกิลส์-ดั้งเดิม"
3,142,"พริงเกิลส์-ซาวครีม"
3,140,"โดโซะรสกลมกล่อม 56g (10ชิ้น)"
3,129,"เครื่องดื่มกัญชง ตรา คามูซี"
3,117,"ลูกอมรสมะนาวผสมเกลือหิมาลัย"
3,110,"611 เอ็มจอย300ml ลิ้นจี่"
3,107,"นมไวตามิ้ลค์ กล่องสูตรออริจินอล 300 มล."
3,106,"PWA"
3,101,"นมถั่วเหลืองแลตตาซอย รสหวาน250มล."
3,98,"SBMTOPUPWALLET"
3,96,"โฟร์โมสต์ นมยูเอชที รสช็อกโกแลต 225 มล."
3,91,"ลิปตัน ไอซ์ที"
3,91,"เขาช่อง ถั่วลิสงเคลือบรสกาแฟ 30 กรัม"
3,88,"นมไวตามิ้ลค์ขวดสูตรออริจินอล (ทูโก)"
3,88,"โคอะล่ามาร์ช-ช๊อกโกแล็ต"
3,86,"TRUECONVERGENCE"
3,86,"TRIPLETBB"
3,85,"ยูนิฟ น้ำผักผสมผลไม้รวม แครอทม่วง"
3,83,"โฟร์โมสต์ โอเมก้าโยเกิร์ต รสผลไม้"
3,82,"โคอะล่ามาร์ช-สตรอเบอร์รี"
3,80,"น้ำดื่มดราก้อน 6.11"
3,79,"โฟร์โมสต์ยูเอที225มล.รสหวาน"
3,78,"ลูกอมฮอล์น้ำผึ้ง(แผง)"
3,74,"ทาโร่โรล 2ม. รสเข้มข้น"
3,68,"น้ำแร่มองต์เฟลอ"
3,61,"ยูนิฟ น้ำผักผสมผลไม้รวมผักใบเขียว"
3,60,"TMHMOBILE"
3,60,"โฟร์โมสต์ โอเมก้าโยเกิร์ต รสส้ม"
3,57,"โฟร์โมสต์ นมยูเอชที รสจืด 225 มล."
3,56,"TOLCVG"
3,55,"ชาฮิโรฉะ น้ำผึ้งมะนาว ขนาด 250ml."
3,54,"SBMDIPCHIP"
3,54,"ยันฮี วิตามิน วอเตอร์ ไครแซนเทมั่ม"
3,54,"BBLKYCDIPCHIP"
3,52,"นมไวตามิ้ลค์ กล่องรสงาดำ"
3,52,"credit_rev"
3,50,"MEA"
3,46,"มิลค์โก้ (ซอง) รสหวาน"
3,46,"เอส PET 490มล."
3,45,"TRUEONLINE"
3,43,"xferin"
3,43,"xferout"
3,40,"น้ำด่าง PH+8.5  (Alkaline)"
3,39,"STEAMWALLET"
3,37,"ทาโร่โรล 2ม. รสบาร์บีคิว"
3,36,"ยันฮี น้ำกัญชา กลิ่นลาเวนเดอร์มิกเบอรี่"
3,36,"นมไวตามิ้ลค์ ทูโก สูตรชาไทย 300ml"
3,33,"FOODCOURT_TOPUP"
3,31,"เป๊ปซี่ แมกซ์ 245 มล."
3,30,"GETFRIEND"
3,30,"ยูนิฟ-แครอทม่วง(กระป๋อง)"
3,30,"หน้ากากทางการแพทย์ ดั๊บเบิ้ล เอ"
3,26,"611 HONEY LYCHEE 320ml (ลิ้นจี่)"
3,25,"AISFIBRE"
3,24,"RABBITCARD-TOPUP"
3,20,"manualdebit"
3,20,"manualcredit"
3,19,"น้ำดื่มเอสเทอร์บันนี่ 300 มล."
3,18,"น้ำกัญชากลิ่นสับปะรด ตราเมจิกฟาร์ม"
3,18,"น้ำกัญชากลิ่นมิกซ์เบอรี่ ตราเมจิกฟาร์ม"
3,18,"เครื่องดื่ม น้ำกัญชา แบบอัดลม"
3,16,"ผลิตภัณฑ์นมจืด ตรา ว้าวว"
3,12,"หน้ากากผ้าสีดำ+สายคล้องสีแดง N Lux"
3,12,"โซฟีคูลลิ่งสลิมมีปีก 23ซม.4ชิ้น"
3,12,"ชุดตรวจ Singclean ATK"
3,11,"น้ำแร่ โดเรม่อน 500ml."
3,10,"เบอร์ดี้แบล็ค น้ำตาลน้อย 180 ml."
3,9,"PENGUIN"
3,9,"CIMBDEPOSIT"
3,8,"หน้ากาก Triple Mask สีน้ำเงิน มีสายคล้อง"
3,8,"หน้ากากดั๊บเบิ้ลเอ 3D"
3,8,"หน้ากากสายคล้องคอสีน้ำตาล Mask Drop"
3,8,"หน้ากากผ้า N Lux"
3,7,"RABBITCARD-SALE"
3,7,"RABBITCARD-REGISTER"
3,5,"มาม่า คัพ-โจ๊กไก่"
3,5,"มิรินด้า รสส้ม 245ml."
3,5,"MPAYWALLET"
3,5,NULL
3,5,"มาม่า คัพ-โจ๊กหมู"
3,4,"โซฟีคูลลิ่งเฟรชกลางคืน 29ซม.5ชิ้น"
3,2,"กาแฟเพรียวกระป๋อง สูตรออริจินัล"
3,2,"อควา วิตซ์ กลิ่นน้ำผึ้งเลมอน 320"
3,2,"หน้ากาก Triple Mask สีดำแบบมีสายคล้อง"
3,2,"หน้ากากสายคล้องคอสีชมพู Mask Drop"
3,2,"MISTINE"
3,1,"BAACLOTTO"
3,1,"commission"
